schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,favorite_win,favorite_cover,over,elo1_pre,elo2_pre,elo_difference
9/1/1979,1979,1,TB,DET,TB,-3,30,79,9,31,16,0,1,0,1,1,1,1385.204,1487.039,101.835
9/2/1979,1979,1,BUF,MIA,MIA,-5,39,74,15,7,9,0,0,1,1,0,0,1422.82,1573.513,150.693
9/2/1979,1979,1,CHI,GB,CHI,-3,31,78,11,6,3,0,1,0,1,0,0,1485.806,1462.502,23.304
9/2/1979,1979,1,DEN,CIN,DEN,-3,31.5,69,6,10,0,0,1,0,1,1,0,1579.121,1491.38,87.741
9/2/1979,1979,1,KC,IND,KC,-1,37,76,8,14,0,0,1,0,1,1,0,1408.082,1420.16,12.078
9/2/1979,1979,1,LAR,OAK,LAR,-4,36.5,70,10,17,24,0,1,0,0,0,1,1571.837,1543.108,28.729
9/2/1979,1979,1,MIN,SF,MIN,-7,32,70,11,28,22,0,1,0,1,0,1,1501.07,1376.895,124.175
9/2/1979,1979,1,NO,ATL,NO,-5,32,72,0,34,40,0,1,0,0,0,1,1454.541,1472.748,18.207
9/2/1979,1979,1,NYJ,CLE,NYJ,-2,41,73,10,22,25,0,1,0,0,0,1,1486.703,1483.734,2.969
9/2/1979,1979,1,PHI,NYG,PHI,-7,31.5,76,9,23,17,0,1,0,1,0,1,1516.285,1435.862,80.423
9/2/1979,1979,1,SEA,LAC,SEA,-2,42.5,72,0,16,33,0,1,0,0,0,1,1489.929,1550.894,60.965
9/2/1979,1979,1,ARI,DAL,DAL,-4,37,76,7,21,22,0,0,1,1,0,1,1483.233,1665.557,182.324
9/2/1979,1979,1,,TEN,TEN,-4,33,80,11,27,29,0,0,1,1,0,1,,,0
9/3/1979,1979,1,NE,PIT,PIT,-2,37,78,13,13,16,0,0,1,1,1,0,1550.07,1676.663,126.593
9/6/1979,1979,2,DEN,LAR,DEN,-2,31.5,67,8,9,13,0,1,0,0,0,0,1592.275,1544.396,47.879
9/9/1979,1979,2,IND,TB,PICK,0,33,64,8,26,29,0,0,0,1,1,1,1397.713,1416.381,18.668
9/9/1979,1979,2,BUF,CIN,CIN,-3,34,54,7,51,24,0,0,1,0,0,1,1414.802,1478.226,63.424
9/9/1979,1979,2,CHI,MIN,CHI,-6,31.5,60,11,26,7,0,1,0,1,1,1,1495.817,1510.094,14.277
